timeString,year,month,day,hour,minute,second,pex,tex,rhsh,tgrad,nb,dbeg,dend,conctotal,10,12,14,16,19,22,26,30,35,41,48,56,65,76,89,105,122,143,167,196,229,267,313,366,428,500,time
2020-03-16 23:54:49,2020,3,16,23,54,49,1007.8,296.8,31.2,-99.9,26,10.0,500.0,2263.2,281.9,165.8,559.3,432.7,305.7,601.4,707.9,1283.2,1075.1,1647.0,2031.7,2202.2,1335.4,659.7,1719.6,2713.4,2112.5,1866.9,1878.6,440.7,2075.2,1891.7,1899.0,1382.6,1188.3,844.4,2020-03-16 23:54:49
2020-03-17 00:08:30,2020,3,17,0,8,30,1008.1,296.6,31.2,-99.9,26,10.0,500.0,2574.8,797.7,628.0,449.8,419.5,559.5,1059.1,709.1,1154.5,1525.4,1108.8,1471.6,1754.1,2061.0,2252.7,2483.3,2366.5,1859.3,2110.4,2085.0,1519.0,1892.7,1509.5,1922.2,1457.3,1090.4,1640.8,2020-03-17 00:08:30
2020-03-17 00:22:11,2020,3,17,0,22,11,1008.3,296.5,31.2,-99.9,26,10.0,500.0,2728.6,691.3,570.2,495.4,627.9,687.3,905.8,951.6,1321.8,1527.0,1667.7,1987.1,2079.3,2235.6,2197.7,2390.2,2620.0,2237.7,1848.2,1931.2,1691.9,1842.0,1497.3,1880.8,1570.7,1181.3,1514.0,2020-03-17 00:22:11
2020-03-17 00:35:52,2020,3,17,0,35,52,1008.4,296.4,31.2,-99.9,26,10.0,500.0,2578.3,692.0,536.6,518.7,579.1,781.3,953.4,1033.6,968.4,1196.9,1322.5,1671.5,1991.2,2074.9,1908.6,2147.3,2473.9,2322.8,1935.9,2052.1,1880.5,1743.1,1441.3,1840.1,1465.3,971.1,1437.4,2020-03-17 00:35:52
2020-03-17 00:49:33,2020,3,17,0,49,33,1008.4,296.3,31.2,-99.9,26,10.0,500.0,2653.7,644.3,507.5,501.9,692.0,672.3,868.6,1101.5,1083.6,1337.6,1642.7,1897.6,1744.0,1852.0,2292.3,2526.5,2493.7,1924.7,2126.1,1948.2,1859.4,2036.2,1417.5,1701.8,1557.7,1150.4,1467.8,2020-03-17 00:49:33
2020-03-17 01:03:14,2020,3,17,1,3,14,1008.5,296.3,31.1,-99.9,26,10.0,500.0,2498.8,896.1,470.0,442.1,537.3,714.3,512.8,904.4,1221.3,1367.1,1430.8,1578.9,1662.4,1780.5,1936.8,1903.1,2188.9,2252.0,1899.9,1888.0,2003.6,2045.8,1444.7,1584.1,1455.3,1185.1,1464.7,2020-03-17 01:03:14
2020-03-17 01:16:55,2020,3,17,1,16,55,1008.6,296.3,31.1,-99.9,26,10.0,500.0,2651.3,805.0,688.9,525.4,619.2,766.3,927.8,999.6,1224.1,1272.2,1618.5,1906.5,1831.1,1849.7,2178.0,2178.0,1881.3,1943.4,2038.2,2111.3,1985.6,2007.0,1554.9,1892.2,1594.0,1177.8,1436.5,2020-03-17 01:16:55
2020-03-17 01:30:36,2020,3,17,1,30,36,1008.6,296.3,31.0,-99.9,26,10.0,500.0,2580.0,552.6,560.7,545.4,506.8,708.1,807.7,886.5,1116.9,1439.5,1463.3,1571.4,1862.7,2014.6,2150.0,2136.0,2365.7,2504.1,2314.4,2180.4,1477.4,1732.9,1556.8,1722.3,1433.7,901.4,1452.1,2020-03-17 01:30:36
2020-03-17 01:44:17,2020,3,17,1,44,17,1008.7,296.3,31.0,-99.9,26,10.0,500.0,2786.2,749.1,555.7,565.4,680.3,691.3,771.8,990.5,1161.1,1389.3,1715.4,1738.7,1896.8,2017.7,2364.4,2331.3,2435.7,2125.3,2311.6,2483.1,1975.6,2217.6,1604.6,2029.3,1431.8,1081.2,1684.4,2020-03-17 01:44:17
2020-03-17 01:57:58,2020,3,17,1,57,58,1008.8,296.1,31.0,-99.9,26,10.0,500.0,2820.5,875.8,701.6,468.3,696.6,866.8,1011.1,1097.3,1089.8,1465.7,1779.6,1686.7,1954.4,2419.7,2363.3,2431.9,2118.1,1990.5,2215.6,2238.6,1953.0,2182.5,1703.2,1908.5,1512.9,1124.4,1646.5,2020-03-17 01:57:58
2020-03-17 02:11:39,2020,3,17,2,11,39,1008.9,296.1,30.9,-99.9,26,10.0,500.0,2727.0,378.6,547.7,472.8,585.0,735.2,1001.3,941.7,1178.9,1504.9,1669.9,1752.5,1744.7,2037.9,1739.3,2686.5,2706.3,1795.9,1866.3,2405.2,1835.4,2039.5,1719.4,2125.4,1706.1,1251.9,1698.7,2020-03-17 02:11:39
2020-03-17 02:25:20,2020,3,17,2,25,20,1009.0,296.0,30.9,-99.9,26,10.0,500.0,2621.2,757.2,491.8,499.0,566.1,704.1,674.5,1075.9,1209.2,930.5,1358.8,1709.0,1602.7,1983.8,2321.0,2225.6,2023.6,2209.2,2118.0,1969.1,1658.0,2365.9,1793.0,2106.4,1459.2,1210.1,1548.2,2020-03-17 02:25:20
2020-03-17 02:39:01,2020,3,17,2,39,1,1009.0,296.0,30.8,-99.9,26,10.0,500.0,3233.4,676.9,670.6,732.4,802.1,765.7,1031.2,1286.1,1305.1,1647.4,1945.1,2182.9,2372.1,2766.4,2888.9,2449.9,2914.0,3075.0,2510.5,2504.6,2140.5,2273.3,1936.3,2253.5,1657.9,1226.1,1564.2,2020-03-17 02:39:01
2020-03-17 02:52:42,2020,3,17,2,52,42,1009.1,296.0,30.8,-99.9,26,10.0,500.0,3254.9,1102.6,732.8,745.8,912.2,913.3,1144.9,1141.5,1495.1,1547.4,1657.0,2207.8,2419.2,2678.6,2525.2,2554.2,3199.0,3132.4,2441.9,2545.4,2216.4,1886.8,1820.4,2308.4,1784.8,1233.1,1549.8,2020-03-17 02:52:42
2020-03-17 03:06:23,2020,3,17,3,6,23,1009.3,295.9,30.8,-99.9,26,10.0,500.0,3247.2,977.2,873.5,727.4,797.3,1014.6,1077.0,1179.5,1425.6,1784.1,1975.9,2069.3,2247.3,2360.4,2498.6,2383.5,2497.8,3109.7,2627.2,2433.0,2449.1,2861.2,1935.1,2243.3,1320.9,1169.8,1743.3,2020-03-17 03:06:23
